stop_code,stop_name,stop_lat,stop_lon
7578,Turner at Buckeye,43.073535,-89.314284
7581,Wyalusing at Stockbridge,43.094036,-89.260845
7587,Milwaukee at Rustic,43.099311,-89.269884
F701,Starker at Vondron,43.076979,-89.291699
7604,Milwaukee at North Star,43.099345,-89.276244
7607,Cottage Grove at Dempsey,43.083796,-89.315886
7608,Cottage Grove at Acewood,43.084368,-89.30355
7610,E Buckeye at S Thompson,43.073658,-89.283311
7617,Pflaum at Daniels,43.062303,-89.297997
7619,Cottage Grove at Flora,43.084095,-89.299501
F768,Dominion at S Sprecher,43.091707,-89.267185
7633,Milwaukee at Milo,43.098649,-89.304884
7638,Dempsey at Dennett,43.090028,-89.316543
0765,N Lake at University,43.073076,-89.397291
7654,Davies at Drexel,43.079151,-89.317066
F781,S Thompson at Vondron,43.067193,-89.291076
7663,Turner at Hob,43.066158,-89.314259
7668,Pflaum at Seiferth,43.062446,-89.307464
0768,W Washington at Southwest,43.067928,-89.393972
F780,S Thompson at 1306,43.079486,-89.283546
7687,E Buckeye at Woodvale,43.073297,-89.295417
7689,Buckeye at Camden,43.073425,-89.311433
7694,Turner at Hob,43.066436,-89.314542
F702,Vondron at S Thompson,43.067473,-89.291532
7704,Dempsey at Hynek,43.092535,-89.316514
7716,Turner at Allis,43.071395,-89.3143
7718,Cottage Grove at Drexel,43.083863,-89.320306
F723,Merryturn at Sudbury,43.096236,-89.290798
7729,Turner at Ruth,43.069739,-89.314192
F773,Merryturn at Kevins,43.08887,-89.292924
7734,Milwaukee at Walbridge,43.09854,-89.313578
7739,Pflaum at Groveland,43.061973,-89.320153
7745,Atwood at Margaret,43.087458,-89.327029
7748,Cottage Grove at Ellen,43.084578,-89.289684
F760,S Thompson at Rustic Wood,43.070129,-89.281874
F764,Vondron at E Buckeye,43.073076,-89.291632
F766,Starker at Vondron,43.077194,-89.291884
7782,Dempsey at Pinney,43.08608,-89.31645
F772,S Thompson at E Buckeye,43.073228,-89.283003
F784,Dominion at Traveler,43.091781,-89.269864
0782,W Badger at Fiedler,43.03869,-89.401869
F722,Vondron at Dolores,43.069951,-89.291614
7823,Buckeye at Davies,43.0767,-89.319896
7829,Dempsey at Rockwell,43.087691,-89.316188
F730,Inwood at Open Wood,43.0858,-89.294349
7834,Atwood at Cottage Grove,43.083356,-89.325035
7838,Buckeye at Lakeview,43.075454,-89.317923
F740,S Thompson at Grafton,43.076889,-89.28286
7842,Milwaukee at Portland,43.098768,-89.308033
L781,Vondron at Dolores,43.070166,-89.291317
7867,Wyalusing at Summertown,43.096875,-89.261628
7888,Atwood at Walter,43.089178,-89.32925
7892,Milwaukee at N Thompson,43.099109,-89.289298
F785,S Thompson at Forge,43.066255,-89.284054
F798,Acewood at Goldfinch,43.088781,-89.302863
F797,Inwood at Open Wood,43.08597,-89.294114
0791,W Wilson at S Henry,43.070262,-89.384331
7910,Milwaukee at N Sprecher,43.099729,-89.267315
F792,Acewood at Agate,43.094743,-89.302359
7913,Milwaukee at Kurt,43.098844,-89.293176
F716,Starker at Woodvale,43.077144,-89.295501
7918,E Buckeye at Kings Mill,43.074709,-89.278075
7920,Agriculture at World Dairy,43.05611,-89.291677
F795,Acewood at Cottage Grove,43.084546,-89.302846
7929,Milwaukee at Milky,43.099071,-89.279048
F790,North Star at Dominion,43.091152,-89.2752
F793,Acewood at Agate,43.094877,-89.302063
7955,Monona at Buckeye,43.079675,-89.32388
7968,E Buckeye at Twilight,43.073432,-89.298866
F769,Acewood at Onyx,43.091779,-89.30208
7984,E Buckeye at Ellen,43.073573,-89.288237
7989,Cottage Grove at Atlas,43.083958,-89.306564
7990,Dempsey at Overpass,43.095597,-89.316435
7991,Cottage Grove at Ellen,43.084238,-89.289389
8100,Raymond at Prairie,43.032042,-89.48917
8101,Raymond at Prairie,43.031702,-89.488368
F826,S Pleasant View at Mid Town,43.030938,-89.533299
8131,S Gammon at Schroeder,43.046501,-89.50303
8135,Reetz at Raymond,43.03216,-89.461473
8138,S Whitney at Piping Rock,43.041823,-89.477643
8153,Muir Field at Tucson,43.017338,-89.511026
8154,Hammersley at Reetz,43.039161,-89.460885
0816,Fish Hatchery at W Badger,43.038377,-89.404275
8160,S Gammon at Gammon,43.043734,-89.5041
8166,McKenna at Hammersley,43.038678,-89.500146
8173,S Whitney at Hammersley,43.039442,-89.477332
8174,Waldorf at Mansion Hill,43.034346,-89.525002
8180,S Gammon at Schroeder,43.045897,-89.503357
8186,Raymond at Lewon,43.032015,-89.468222
8188,McKenna at Elver Park,43.039205,-89.502639
8192,Muir Field at Tucson,43.017222,-89.511568
F814,McKenna at Lancaster,43.021972,-89.503174
8224,Muir Field at Lindfield,43.027135,-89.50582
8235,Schroeder at Saybrook,43.046254,-89.479263
8237,Schroeder at Forward,43.046205,-89.488444
8241,Schroeder at Highway Ramp,43.046282,-89.475511
8246,Starr Grass at S High Point,43.038469,-89.518518
8251,Mid Town at S Pleasant View,43.031243,-89.532757
8255,Schroeder at S Gammon,43.046125,-89.502437
F859,Carnwood at Maple Grove,43.020005,-89.498965
8263,Maple Grove at Westin,43.01287,-89.498773
8268,Woods at Mid Town,43.030929,-89.553002
8273,Mid Town at Woods,43.031099,-89.552472
8274,S Whitney at Gilbert,43.044277,-89.474227
0828,E Rusk at Rimrock,43.04282,-89.377831
8281,McKenna at Raymond,43.032127,-89.49677
8285,Raymond at Lewon,43.031666,-89.468604
8297,S Whitney at Raymond,43.03228,-89.476537
8301,McKenna at Morraine View,43.041791,-89.504702
F806,Manchester at Westin,43.01094,-89.492517
8341,S Whitney at Bartlett,43.034151,-89.477094
8363,Raymond at Leland,43.031724,-89.479917
8379,McKee at Muir Field,43.015673,-89.510974
8386,Mid Town at Hawks Landing,43.031339,-89.545243
F888,Carnwood at Maple Grove,43.02022,-89.499151
F889,Mid Town at Mica,43.031273,-89.528562
0839,W Johnson at N Broom,43.073639,-89.391365
0840,S Park at W Washington,43.06288,-89.401022
8404,Raymond at Reetz,43.031874,-89.462003
8405,Muir Field at Carnwood,43.020117,-89.506231
8427,Schroeder at White Oaks,43.046234,-89.484384
F848,S Whitney at Raymond,43.031492,-89.476981
8432,McKee at Tanglewood,43.015793,-89.505683
8435,Waldorf at Mansion Hill,43.034275,-89.524681
0845,Fish Hatchery at Plaenert,43.049317,-89.400521
8452,S Whitney at Hammersley,43.039307,-89.477838
F841,Carnwood at McKenna,43.019618,-89.502752
8469,Muir Field at McKee,43.016076,-89.511333
0847,Fish Hatchery at Cedar,43.052226,-89.398928
8486,Muir Field at Lancaster,43.022248,-89.505629
8496,McKenna at Morraine View,43.041356,-89.505043
8511,S High Point at Starr Grass,43.03864,-89.517975
8512,Raymond at S Whitney,43.032056,-89.477487
8513,McKenna at Elver Park,43.038892,-89.50217
8519,Muir Field at Gladstone,43.024531,-89.505311
8528,McKenna at Park Heights,43.03535,-89.496959
8537,Schroeder at Chapel Hill,43.046175,-89.493466
8561,Maple Grove at Manchester,43.007669,-89.498841
8569,McKenna at Park Heights,43.035574,-89.496725
8572,Muir Field at Gladstone,43.024396,-89.505607
F854,Hammersley at Lewon,43.039213,-89.467005
8597,Waldorf at Mid Town,43.031785,-89.526281
F804,Hammersley at Gilbert,43.039246,-89.473236
8605,S Whitney at Gilbert,43.044098,-89.473782
0862,John Nolen at E Olin,43.05034,-89.3779
F828,Hammersley at Saalsaa,43.039092,-89.496963
8633,S Whitney at Piping Rock,43.041922,-89.477038
8634,Raymond at McKenna,43.031957,-89.497301
8662,Mid Town at S Pleasant View,43.031448,-89.533584
F864,Prairie at Hammersley,43.038864,-89.488646
8679,Muir Field at Silverton,43.018119,-89.508474
8690,S High Point at Watts,43.051701,-89.518005
8692,Reetz at Flad,43.034398,-89.461524
0087,N Broom at W Gorham,43.07415,-89.392328
8712,Raymond at Leland,43.032073,-89.480102
8714,Muir Field at Raymond,43.030187,-89.507933
8723,Muir Field at Lindfield,43.026733,-89.505338
8728,Starr Grass at Waldorf,43.036953,-89.523537
F879,McKenna at Carnwood,43.020011,-89.502974
8745,Raymond at Canterbury,43.031578,-89.501594
8753,Reetz at Flad,43.034577,-89.461203
8759,McKenna at Hammersley,43.038213,-89.499541
8769,S Gammon at Gammon,43.044075,-89.503459
F870,Hammersley at Whitcomb,43.039196,-89.464389
0879,W Olin at S Park,43.053935,-89.396039
8796,S Whitney at Bartlett,43.033596,-89.477328
8830,Muir Field at Silverton,43.018414,-89.508659
F855,McKenna at Lancaster,43.022357,-89.502484
8866,Mid Town at Waldorf,43.031552,-89.526811
8872,Raymond at Frisch,43.032003,-89.493957
8893,Muir Field at Raymond,43.030429,-89.507674
8921,Mid Town at Hawks Landing,43.031125,-89.54449
8934,Muir Field at Carnwood,43.019606,-89.507118
8937,Raymond at S Whitney,43.031707,-89.476438
0894,E Rusk at N Rusk,43.039161,-89.383916
F840,Hammersley at Frisch,43.039175,-89.493261
8941,Muir Field at Lancaster,43.022382,-89.505333
F894,Prairie at Lomax,43.034719,-89.488791
0895,W Badger at Overpass,43.038311,-89.388642
8953,Starr Grass at Waldorf,43.036738,-89.523352
F856,Prairie at Jacobs,43.036858,-89.488719
8958,Raymond at Canterbury,43.031784,-89.50205
0896,S Park at Cedar,43.051598,-89.394942
F885,McKenna at Pilgrim,43.026989,-89.496851
9001,Cremer at Park And Ride,43.156799,-89.266988
0904,Erin at S Park,43.059997,-89.401221
0906,S Park at Buick,43.041491,-89.394255
